order_id,order_date,region,customer_id,product_id,quantity,unit_price,revenue
O01482,2025-12-06,East,C1047,P105,1,34.71,34.71
O00487,2025-07-25,North,C1040,P101,4,46.46,185.84
O00655,2024-03-06,South,C1028,P111,3,23.28,69.84
O00706,2024-06-05,South,C1013,P101,3,36.43,109.29
O01202,2024-10-24,East,C1055,P110,4,112.17,448.68
O00576,2025-11-10,North,C1001,P101,1,42.09,42.09
O00536,2025-09-11,North,C1017,P104,3,23.01,69.03
O01031,2024-01-20,East,C1011,P104,1,22.36,22.36
O01481,2025-12-08,East,C1044,P102,5,22.67,113.35
O00953,2025-08-21,South,C1054,P105,4,35.51,142.04
O01277,2025-02-09,East,C1003,P105,5,31.33,156.65
O01744,2025-05-26,West,C1021,P108,3,240.3,720.9
O01149,2024-07-23,East,C1055,P107,2,58.48,116.96
O01217,2024-11-19,East,C1056,P103,2,204.43,408.86
O00076,2024-03-27,North,C1037,P102,5,22.44,112.2
O00362,2025-03-02,North,C1052,P100,3,12.24,36.72
O01622,2024-09-10,West,C1027,P109,2,349.91,699.82
O01538,2024-03-11,West,C1046,P107,1,44.5,44.5
O00920,2025-06-16,South,C1058,P105,2,25.21,50.42
O01488,2025-12-24,East,C1048,P104,5,24.04,120.2
O00138,2024-05-12,North,C1040,P103,4,181.71,726.84
O01247,2025-01-04,East,C1044,P104,3,19.54,58.62
O00749,2024-09-20,South,C1050,P108,5,193.28,966.4
O01751,2025-06-28,West,C1019,P103,3,135.3,405.9
O00701,2024-05-14,South,C1033,P109,4,363.92,1455.68
O00973,2025-10-02,South,C1004,P107,5,43.33,216.65
O01254,2025-01-21,East,C1034,P108,2,255.8,511.6
O01280,2025-02-04,East,C1044,P100,4,14.59,58.36
O01441,2025-10-10,East,C1003,P102,2,29.43,58.86
O01004,2025-12-13,South,C1018,P105,1,38.18,38.18
O00369,2025-03-26,North,C1037,P107,5,49.73,248.65
O01413,2025-08-10,East,C1042,P111,3,21.47,64.41
O00337,2025-02-28,North,C1037,P105,1,39.59,39.59
O00383,2025-04-28,North,C1008,P105,5,32.38,161.9
O00038,2024-02-28,North,C1006,P111,1,22.52,22.52
O01389,2025-07-06,East,C1047,P109,5,446.85,2234.25
O00704,2024-06-11,South,C1024,P100,1,16.36,16.36
O00773,2024-11-19,South,C1022,P100,1,14.87,14.87
O01839,2025-12-20,West,C1032,P107,3,45.08,135.24
O01298,2025-03-27,East,C1023,P102,1,20.08,20.08
O01796,2025-09-06,West,C1039,P102,1,24.08,24.08
O01647,2024-12-03,West,C1051,P110,3,84.42,253.26
O00817,2025-01-28,South,C1035,P111,1,16.95,16.95
O01167,2024-08-28,East,C1034,P107,2,53.13,106.26
O01374,2025-06-23,East,C1010,P109,4,433.12,1732.48
O01061,2024-02-10,,C1056,P105,3,28.89,86.67
O00009,2024-01-09,North,C1008,P110,5,91.59,457.95
O01687,2025-02-16,West,C1051,P108,5,231.16,1155.8
O00537,2025-10-12,North,C1036,P110,5,118.59,592.95
O00282,2024-12-27,North,C1037,P107,1,50.0,50.0
O00896,2025-05-10,South,C1002,P100,4,16.87,67.48
O01581,2024-06-25,West,C1053,P106,1,72.77,72.77
O00191,2024-08-26,North,C1037,P104,2,17.47,34.94
O00656,2024-03-11,South,C1018,P103,3,159.51,478.53
O01292,2025-02-08,East,C1011,P110,1,77.62,77.62
O00928,2025-07-06,South,C1041,P105,2,39.56,79.12
O00061,2024-03-05,North,C1006,P100,4,15.55,62.2
O01610,2024-08-19,West,C1027,P109,5,410.11,2050.55
O01695,2025-03-14,West,C1046,P102,2,21.51,43.02
O01543,2024-03-18,West,C1000,P100,3,17.81,53.43
O00869,2025-04-22,South,C1028,P109,2,425.83,851.66
O01816,2025-11-19,West,C1053,P104,4,16.77,67.08
O00265,2024-12-28,North,C1036,P108,1,262.31,262.31
O01531,2024-03-08,West,C1019,P102,3,26.45,79.35
O01250,2025-01-18,East,C1055,P108,1,212.84,212.84
O00760,2024-10-05,South,C1009,P111,3,22.13,66.39
O00698,2024-05-25,South,C1005,P106,2,80.37,160.74
O00127,2024-05-15,North,C1006,P108,5,238.72,1193.6
O00855,2025-03-17,South,C1038,P100,1,13.84,13.84
O00535,2025-09-17,North,C1017,P109,2,,754.52
O00751,2024-09-10,South,C1005,P104,3,18.09,54.27
O00099,2024-04-08,North,C1006,P104,2,16.66,33.32
O01448,2025-10-10,East,C1059,P108,2,261.06,522.12
O01399,2025-07-18,East,C1011,P103,3,204.04,612.12
O01330,2025-04-26,East,C1010,P106,3,81.67,245.01
O01692,2025-02-25,West,C1039,P110,1,119.87,119.87
O00159,2024-06-09,North,C1006,P107,3,54.95,164.85
O00907,2025-05-03,South,C1018,P107,4,56.83,227.32
O01794,2025-09-06,West,C1039,P105,5,32.5,162.5
O01336,2025-04-16,East,C1010,P102,1,24.97,24.97
O00195,2024-08-25,North,C1052,P106,2,73.2,146.4
O01675,2025-01-27,West,C1051,P104,4,18.31,73.24
O00564,2025-11-08,North,C1001,P102,5,24.54,122.7
O00298,2025-01-14,North,C1015,P102,1,30.24,30.24
O01621,2024-09-08,West,C1021,P100,4,14.01,56.04
O01634,2024-11-26,West,C1000,P109,3,435.11,1305.33
O01704,2025-03-23,West,C1029,P105,5,38.38,191.9
O00193,2024-08-17,North,C1015,P104,2,21.15,42.3
O00178,2024-07-20,North,C1001,P107,4,44.52,178.08
O00422,2025-05-27,North,C1040,P106,3,64.45,193.35
O01221,2024-11-24,East,C1056,P105,3,38.63,115.89
O00083,2024-03-20,North,C1008,P103,2,158.36,316.72
O01723,2025-04-16,West,C1014,P108,4,197.48,789.92
O01398,2025-07-08,East,C1023,P107,2,57.56,115.12
O00526,2025-09-07,North,C1049,P100,4,17.31,69.24
O01510,2024-01-10,West,C1021,P108,4,212.52,850.08
O01780,2025-08-07,West,C1051,P105,3,26.11,78.33
O01420,2025-08-26,East,C1056,P102,4,19.89,79.56
O01088,2024-04-26,East,C1012,P106,3,83.05,249.15
O01400,2025-07-25,East,C1047,P101,1,37.79,37.79
O01239,2024-12-13,East,C1034,P101,1,42.87,42.87
O01803,2025-10-07,West,C1027,P111,1,25.96,25.96
O01290,2025-02-28,East,C1003,P104,1,24.17,24.17
O00813,2025-01-09,South,C1013,P100,2,15.05,30.1
O00803,2024-12-26,South,C1050,P109,1,433.29,433.29
O00352,2025-03-15,North,C1015,P101,2,44.0,88.0
O01309,2025-03-09,East,C1034,P101,3,35.05,105.15
O01049,2024-02-08,East,C1023,P109,1,325.71,325.71
O00676,2024-04-04,South,C1020,P107,3,61.47,184.41
O01737,2025-05-11,West,C1000,P100,1,17.11,17.11
O01553,2024-04-04,West,C1000,P108,3,194.46,583.38
O00134,2024-05-25,North,C1006,P111,4,20.37,81.48
O01260,2025-01-05,East,C1059,P105,5,27.97,139.85
O01080,2024-03-20,East,C1011,P107,3,54.14,162.42
O01039,2024-01-05,East,C1023,P109,1,454.29,454.29
O01348,2025-05-25,East,C1003,P102,3,24.04,72.12
O01644,2024-11-08,West,C1053,P107,5,48.65,243.25
O00092,2024-04-02,North,C1043,P111,3,21.16,63.48
O01513,2024-02-04,West,C1026,P106,1,83.67,83.67
O00809,2025-01-12,South,C1005,P105,5,,195.85
O00574,2025-11-02,North,C1006,P111,4,22.27,89.08
O00841,2025-02-22,South,C1057,P100,5,15.81,79.05
O00293,2025-01-02,North,C1015,P108,4,263.36,1053.44
O01563,2024-05-18,West,C1019,P101,4,38.48,153.92
O00242,2024-11-04,North,C1015,P106,5,95.03,475.15
O00232,2024-10-05,North,C1015,P109,2,,889.5
O00644,2024-02-28,South,C1009,P102,1,19.78,19.78
O01430,2025-09-25,East,C1023,P101,2,33.68,67.36
O00054,2024-02-03,North,C1052,P101,3,33.99,101.97
O01762,2025-06-16,West,C1019,P103,1,188.43,188.43
O01245,2025-01-12,East,C1034,P100,5,16.01,80.05
O01463,2025-11-07,East,C1023,P102,5,,140.35
O01458,2025-11-28,East,C1056,P106,2,66.86,133.72
O01331,2025-04-24,East,C1042,P108,4,242.0,968.0
O01206,2024-10-08,East,C1003,P106,2,89.09,178.18
O01764,2025-07-09,West,C1051,P102,5,28.28,141.4
O00900,2025-05-13,South,C1057,P105,2,38.5,77.0
O01483,2025-12-03,East,C1031,P102,2,25.8,51.6
O00840,2025-02-24,South,C1022,P107,2,43.64,87.28
O01527,2024-02-22,West,C1039,P103,5,207.29,1036.45
O00108,2024-04-21,North,C1043,P103,5,147.67,738.35
O00572,2025-11-07,North,C1017,P105,3,26.57,79.71
O00228,2024-10-26,North,C1006,P100,1,15.94,15.94
O00224,2024-10-07,North,C1052,P105,2,31.16,62.32
O00066,2024-03-12,North,C1040,P105,3,35.07,105.21
O01083,2024-03-19,East,C1048,P105,2,27.14,54.28
O01204,2024-10-27,East,C1042,P102,3,29.76,89.28
O01724,2025-04-10,West,C1026,P111,4,21.1,84.4
O00057,2024-03-04,North,C1017,P110,5,113.67,568.35
O00168,2024-07-28,North,C1008,P104,5,19.49,97.45
O00997,2025-11-27,South,C1002,P104,1,18.06,18.06
O00905,2025-05-24,South,C1038,P100,2,16.55,33.1
O00276,2024-12-21,North,C1040,P111,5,24.97,124.85
O01104,2024-04-17,East,C1048,P107,4,51.69,206.76
O00448,2025-06-06,North,C1037,P103,3,157.38,472.14
O00969,2025-09-05,South,C1025,P106,3,72.61,217.83
O01691,2025-02-20,West,C1053,P106,2,67.41,134.82
O00547,2025-10-26,North,C1040,P108,4,199.89,799.56
O01283,2025-02-06,East,C1055,P107,4,48.88,195.52
O01570,2024-05-23,West,C1053,P100,5,18.08,90.4
O00988,2025-11-19,South,C1057,P110,2,111.36,222.72
O00004,2024-01-06,North,C1006,P108,4,256.81,1027.24
O01827,2025-12-14,West,C1046,P108,3,219.04,657.12
O01274,2025-02-03,East,C1034,P101,2,34.07,68.14
O00310,2025-01-25,North,C1049,P111,5,19.17,95.85
O01594,2024-07-15,West,C1014,P105,4,29.35,117.4
O01225,2024-12-06,East,C1031,P109,5,388.47,1942.35
O00249,2024-11-26,North,C1017,P101,4,46.03,184.12
O01756,2025-06-04,West,C1053,P107,4,43.47,173.88
O00816,2025-01-03,South,C1004,P102,3,20.72,62.16
O01098,2024-04-15,East,C1055,P104,3,15.88,47.64
O00401,2025-04-14,North,C1006,P100,2,11.94,23.88
O01438,2025-09-24,East,C1056,P107,5,47.53,237.65
O01834,2025-12-13,West,C1019,P104,4,18.14,72.56
O00937,2025-07-20,South,C1024,P102,2,26.26,52.52
O01505,2024-01-09,West,C1053,P100,3,16.31,48.93
O01273,2025-02-19,East,C1003,P111,2,21.58,43.16
O00556,2025-10-10,North,C1008,P104,4,21.44,85.76
O01822,2025-11-21,West,C1053,P101,4,47.53,190.12
O00852,2025-03-17,South,C1013,P108,2,216.09,432.18
O00373,2025-03-13,North,C1036,P110,1,84.75,84.75
O01490,2025-12-19,East,C1055,P107,1,58.99,58.99
O00141,2024-06-17,North,C1049,P111,5,24.86,124.3
O01579,2024-06-27,West,C1032,P101,1,38.95,38.95
O00407,2025-04-12,North,C1036,P105,3,26.66,79.98
O01832,2025-12-18,West,C1021,P101,3,34.79,104.37
O00919,2025-06-07,South,C1007,P111,5,19.44,97.2
O00386,2025-04-07,North,C1040,P101,2,32.62,65.24
O01216,2024-11-15,East,C1059,P103,5,158.61,793.05
O00415,2025-05-03,North,C1036,P109,1,371.57,371.57
O01011,2025-12-18,South,C1045,P103,1,159.89,159.89
O00708,2024-06-11,,C1038,P110,3,88.2,264.6
O00615,2024-01-06,South,C1020,P102,3,27.89,83.67
O00779,2024-11-16,South,C1058,P102,5,26.39,131.95
O01085,2024-04-06,East,C1012,P108,1,216.7,216.7
O00465,2025-06-22,North,C1015,P106,1,95.21,95.21
O00425,2025-05-03,North,C1049,P109,2,434.23,868.46
O01184,2024-09-11,East,C1059,P109,5,396.62,1983.1
O01684,2025-02-21,West,C1029,P105,4,34.21,136.84
O00001,2024-01-19,North,C1001,P100,1,12.47,12.47
O00702,2024-05-26,South,C1024,P111,3,19.23,57.69
O00725,2024-07-10,South,C1025,P106,2,73.77,147.54
O00511,2025-08-09,North,C1006,P107,4,44.91,179.64
O01569,2024-05-12,West,C1032,P110,2,84.87,169.74
O00116,2024-05-19,North,C1043,P104,2,23.68,47.36
O00862,2025-03-21,South,C1009,P110,3,97.61,292.83
O00202,2024-08-04,North,C1006,P103,4,136.12,544.48
O00433,2025-05-16,North,C1036,P102,2,29.67,59.34
O00031,2024-02-17,North,C1049,P103,4,148.18,592.72
O00726,2024-07-21,South,C1028,P109,1,301.25,301.25
O00387,2025-04-17,North,C1006,P103,1,160.26,160.26
O01133,2024-06-06,East,C1055,P101,5,40.36,201.8
O00822,2025-01-02,South,C1054,P108,2,210.74,421.48
O01368,2025-06-11,East,C1059,P110,4,83.72,334.88
O00590,2025-12-24,North,C1049,P110,3,96.64,289.92
O00820,2025-01-05,South,C1024,P106,5,96.34,481.7
O00294,2025-01-03,North,C1052,P106,5,79.5,397.5
O00306,2025-01-11,North,C1001,P102,3,24.17,72.51
O01607,2024-08-07,West,C1021,P109,3,438.2,1314.6
O00147,2024-06-15,North,C1040,P108,4,176.08,704.32
O00332,2025-02-28,North,C1040,P108,2,174.69,349.38
O00626,2024-01-09,South,C1016,P104,1,18.35,18.35
O00621,2024-01-12,South,C1030,P111,4,24.98,99.92
O00995,2025-11-22,South,C1057,P108,4,229.53,918.12
O00331,2025-02-13,North,C1017,P108,1,227.49,227.49
O01769,2025-07-19,West,C1046,P106,1,97.22,97.22
O01339,2025-04-02,East,C1012,P102,2,25.23,50.46
O00588,2025-12-13,North,C1006,P100,3,16.99,50.97
O00040,2024-02-02,North,C1040,P107,5,41.64,208.2
O01391,2025-07-03,East,C1031,P101,2,32.12,64.24
O01471,2025-11-10,East,C1055,P108,4,230.78,923.12
O01046,2024-02-04,East,C1055,P105,1,29.65,29.65
O00081,2024-03-05,North,C1001,P103,5,141.9,709.5
O00603,2025-12-21,North,C1052,P100,3,12.03,36.09
O00102,2024-04-18,North,C1037,P102,5,28.58,142.9
O00772,2024-11-20,South,C1038,P102,5,30.32,151.6
O01689,2025-02-25,West,C1027,P101,1,31.2,31.2
O01226,2024-12-19,East,C1003,P107,3,56.64,169.92
O00991,2025-11-26,South,C1045,P100,1,17.68,17.68
O01036,2024-01-20,East,C1056,P101,5,34.23,171.15
O00860,2025-03-12,South,C1038,P101,5,46.12,230.6
O01007,2025-12-12,South,C1050,P110,1,90.35,90.35
O00731,2024-07-04,South,C1009,P107,5,47.82,239.1
O00642,2024-02-28,South,C1035,P106,5,64.52,322.6
O00986,2025-11-11,South,C1022,P107,4,52.89,211.56
O01287,2025-02-19,East,C1056,P111,5,17.64,88.2
O01090,2024-04-13,East,C1056,P108,3,193.78,581.34
O01402,2025-07-07,East,C1003,P109,5,386.56,1932.8
O00234,2024-10-03,North,C1017,P111,4,22.51,90.04
O01411,2025-08-03,East,C1010,P109,5,404.2,2021.0
O01359,2025-05-16,East,C1012,P102,5,20.92,104.6
O00336,2025-02-15,North,C1037,P108,2,233.87,467.74
O01263,2025-01-25,East,C1044,P100,3,15.62,46.86
O00390,2025-04-14,North,C1036,P110,2,101.99,203.98
O01574,2024-05-25,West,C1021,P100,1,14.79,14.79
O00923,2025-06-27,South,C1041,P100,3,12.64,37.92
O00821,2025-01-24,South,C1005,P100,2,12.42,24.84
O00834,2025-02-25,South,C1033,P106,2,97.55,195.1
O00284,2024-12-08,North,C1008,P101,1,31.33,31.33
O00304,2025-01-17,North,C1008,P110,5,108.67,543.35
O01720,2025-04-06,West,C1053,P110,4,109.18,436.72
O00660,2024-03-05,South,C1005,P105,3,28.63,85.89
O00770,2024-10-19,South,C1002,P108,5,240.71,1203.55
O00775,2024-11-16,South,C1020,P108,4,214.21,856.84
O00041,2024-02-23,North,C1043,P104,2,17.45,34.9
O01212,2024-11-14,East,C1012,P105,4,30.15,120.6
O00059,2024-03-26,North,C1001,P109,5,458.57,2292.85
O00419,2025-05-04,North,C1036,P111,110,23.06,2536.6
O01343,2025-04-20,East,C1003,P109,1,367.09,367.09
O01106,2024-04-10,East,C1012,P100,5,14.09,70.45
O00256,2024-11-12,North,C1043,P110,2,82.77,165.54
O01516,2024-02-23,West,C1027,P101,4,36.79,147.16
O00404,2025-04-22,North,C1017,P103,3,170.74,512.22
O01028,2024-01-26,East,C1047,P104,5,21.11,105.55
O01211,2024-11-15,East,C1048,P108,4,211.27,845.08
O00805,2025-01-02,South,C1024,P107,3,60.66,181.98
O01797,2025-09-17,West,C1053,P109,1,310.99,310.99
O01620,2024-09-23,West,C1014,P111,4,25.57,102.28
O00443,2025-05-16,North,C1017,P107,2,53.22,106.44
O01469,2025-11-17,East,C1010,P108,1,237.52,237.52
O00792,2024-12-25,South,C1024,P104,5,19.99,99.95
O00120,2024-05-19,North,C1043,P102,3,24.21,72.63
O01829,2025-12-17,West,C1014,P108,3,173.53,520.59
O01511,2024-01-23,West,C1026,P100,3,12.76,38.28
O00808,2025-01-11,South,C1058,P106,3,71.99,215.97
O00508,2025-08-14,North,C1043,P108,3,187.25,561.75
O00996,2025-11-10,South,C1041,P109,3,402.6,1207.8
O00794,2024-12-02,South,C1016,P106,1,87.59,87.59
O00645,2024-02-24,South,C1045,P110,1,91.25,91.25
O00170,2024-07-16,North,C1006,P111,2,24.5,49.0
O00354,2025-03-22,North,C1036,P110,4,82.23,328.92
O01209,2024-11-21,East,C1023,P103,1,152.01,152.01
O00429,2025-05-09,North,C1006,P101,3,47.77,143.31
O01555,2024-04-17,West,C1039,P100,2,18.48,36.96
O01520,2024-02-04,West,C1026,P105,4,37.79,151.16
O01662,2025-01-24,West,C1019,P110,4,96.82,387.28
O00271,2024-12-12,North,C1043,P108,5,206.87,1034.35
O00835,2025-02-27,South,C1041,P106,3,83.56,250.68
O01646,2024-12-16,West,C1021,P108,1,220.76,220.76
O01095,2024-04-26,East,C1047,P101,3,46.25,138.75
O01157,2024-07-09,East,C1012,P108,2,245.17,490.34
O00614,2024-01-18,South,C1005,P110,5,95.36,476.8
O01013,2025-12-03,South,C1013,P107,5,59.72,298.6
O00578,2025-11-15,North,C1008,P101,5,44.11,220.55
O00709,2024-06-07,South,C1054,P105,1,28.97,28.97
O01353,2025-05-28,East,C1059,P102,3,26.92,80.76
O00209,2024-09-15,North,C1052,P102,2,23.33,46.66
O00289,2025-01-26,North,C1006,P104,5,18.4,92.0
O00105,2024-04-24,North,C1037,P100,5,12.17,60.85
O00237,2024-10-08,North,C1001,P106,5,84.99,424.95
O00864,2025-03-28,South,C1030,P101,5,35.15,175.75
O00409,2025-04-18,North,C1036,P109,4,365.4,1461.6
O00538,2025-10-22,North,C1037,P104,2,17.67,35.34
O00023,2024-01-04,North,C1015,P100,5,16.98,84.9
O00205,2024-09-12,North,C1037,P108,4,173.81,695.24
O01808,2025-10-18,West,C1039,P103,1,178.59,178.59
O01498,2024-01-20,West,C1000,P108,1,212.83,212.83
O00921,2025-06-04,South,C1004,P100,1,15.64,15.64
O00951,2025-08-19,South,C1018,P102,1,21.04,21.04
O00719,2024-06-02,South,C1045,P106,1,83.02,83.02
O01422,2025-08-24,East,C1010,P101,1,46.91,46.91
O01129,2024-06-17,East,C1003,P101,1,39.54,39.54
O01506,2024-01-11,West,C1029,P107,5,54.65,273.25
O00654,2024-03-12,South,C1050,P100,3,13.26,39.78
O00665,2024-03-18,South,C1004,P105,3,25.4,76.2
O00609,2025-12-26,North,C1015,P101,3,34.34,103.02
O01682,2025-02-19,West,C1053,P111,4,23.84,95.36
O00020,2024-01-26,North,C1043,P102,1,27.98,27.98
O00633,2024-02-02,South,C1058,P100,3,16.08,48.24
O00436,2025-05-04,North,C1001,P102,1,20.47,20.47
O00600,2025-12-18,North,C1001,P103,1,205.44,205.44
O00554,2025-10-06,North,C1043,P104,1,22.41,22.41
O00082,2024-03-19,North,C1049,P104,3,19.08,57.24
O00958,2025-09-10,South,C1028,P109,1,386.22,386.22
O00620,2024-01-21,South,C1004,P107,3,44.02,132.06
O00052,2024-02-20,North,C1006,P106,3,77.17,231.51
O00260,2024-11-07,North,C1008,P108,5,218.11,1090.55
O01071,2024-03-09,East,C1044,P103,3,134.99,404.97
O01477,2025-12-09,East,C1047,P110,3,80.1,240.3
O00397,2025-04-27,North,C1043,P109,4,359.94,1439.76
O01001,2025-12-10,South,C1022,P111,5,19.98,99.9
O01421,2025-08-10,East,C1023,P103,4,150.11,600.44
O00684,2024-04-13,South,C1009,P105,1,28.91,28.91
O01502,2024-01-04,West,C1039,P108,3,227.79,683.37
O01147,2024-07-15,East,C1011,P102,3,27.56,82.68
O01714,2025-04-19,West,C1051,P106,5,84.06,420.3
O01639,2024-11-07,West,C1000,P106,2,95.25,190.5
O01344,2025-05-08,East,C1034,P106,5,82.36,411.8
O00050,2024-02-05,North,C1015,P100,3,12.04,36.12
O00095,2024-04-04,North,C1043,P108,3,263.72,791.16
O01767,2025-07-11,West,C1053,P107,1,47.82,47.82
O00528,2025-09-11,,C1052,P108,2,229.27,458.54
O00300,2025-01-03,North,C1001,P111,3,21.12,63.36
O01168,2024-08-14,East,C1023,P103,4,196.5,786.0
O01629,2024-10-13,West,C1051,P103,4,191.83,767.32
O00762,2024-10-23,South,C1035,P108,2,191.74,383.48
O00694,2024-05-05,South,C1058,P103,2,204.22,408.44
O01632,2024-10-07,West,C1039,P101,4,35.93,143.72
O01195,2024-10-20,East,C1059,P102,5,20.28,101.4
O01417,2025-08-13,East,C1011,P111,4,19.53,78.12
O00447,2025-06-12,North,C1052,P104,5,22.18,110.9
O01207,2024-10-13,East,C1023,P104,4,17.26,69.04
O01492,2025-12-07,East,C1034,P109,3,458.31,1374.93
